Split,Image,ClassGT,Class,CenterX,CenterY,RadiusX,RadiusY,Angle,WorkTime
test,10.png,1,1,47.55389608,43.63100639,33.88722942,32.96433972,0.0,87
test,10.png,1,1,36.5,39.33333333,28.83333333,29.0,0.0,14
test,10.png,1,1,35.66666667,39.0,20.33333333,19.33333333,0.0,170
test,102.png,1,1,46.5,50.83333333,12.16666667,10.83333333,0.0,20
test,102.png,1,1,47.38722942,52.33333333,34.05389608,10.33333333,0.0,9
test,102.png,1,1,46.0,54.33333333,27.0,11.33333333,0.0,11
test,1028.png,1,1,39.3847402,59.83333333,33.71807354,12.5,0.0,9
test,1028.png,1,1,33.63100639,55.33333333,32.63100639,10.33333333,0.0,36
test,1028.png,1,1,64.83333333,60.66666667,28.16666667,16.66666667,0.0,32
test,1043.png,1,1,31.67640687,46.83333333,30.67640687,18.83333333,0.0,13
test,1043.png,1,1,34.24264069,41.41666667,34.51709952,27.41666667,0.0,21
test,1043.png,1,1,19.33333333,43.83333333,16.66666667,12.5,0.0,17
test,1062.png,1,1,42.22957233,66.66666667,33.22957233,29.33333333,0.0,16
test,1062.png,1,1,41.16666667,82.0,10.83333333,13.66666667,0.0,24
test,1062.png,1,1,57.27694804,38.53165566,33.83084412,34.19832233,0.0,27
test,1063.png,1,1,47.66666667,46.83333333,33.66666667,12.5,0.0,13
test,1063.png,1,1,42.6347402,48.33333333,34.30140687,22.66666667,0.0,201
test,1063.png,1,1,47.66666667,47.16666667,26.66666667,13.16666667,0.0,7
test,1065.png,1,1,24.91666667,45.5,23.91666667,19.16666667,0.0,12
test,1065.png,1,1,26.16666667,42.33333333,25.16666667,19.66666667,0.0,354
test,1065.png,1,1,53.21807354,48.83333333,33.21807354,27.16666667,0.0,34
test,1078.png,1,1,52.34307354,43.8847402,32.67640687,33.8847402,0.0,130
test,1078.png,1,1,46.50600639,38.6347402,33.83933972,32.96807354,0.0,14
test,1078.png,1,1,44.86277058,35.78192646,30.80389608,33.8847402,0.0,32
test,1082.png,1,1,40.5,47.0,20.83333333,15.33333333,0.0,343
test,1082.png,1,1,35.83333333,50.0,24.16666667,20.0,0.0,10
test,1082.png,1,1,40.79408791,47.57359313,33.79408791,34.09307354,0.0,62
test,1097.png,1,1,73.5,47.83333333,23.83333333,19.16666667,0.0,286
test,1097.png,1,1,58.01082233,48.83333333,32.677489,13.83333333,0.0,16
test,1097.png,1,1,6.0,49.83333333,6.333333333,6.833333333,0.0,185
test,11.png,1,1,76.83333333,54.83333333,11.16666667,9.166666667,0.0,213
test,11.png,1,1,71.0,51.66666667,26.0,15.66666667,0.0,11
test,11.png,1,1,60.05389608,51.66666667,34.05389608,12.66666667,0.0,30
test,1104.png,1,1,30.0,51.5,22.66666667,8.833333333,0.0,101
test,1104.png,1,1,24.33333333,47.58333333,8.666666667,8.25,0.0,163
test,1104.png,1,1,28.0,49.0,13.0,9.333333333,0.0,283
test,1123.png,1,1,45.97056275,47.0,31.63722942,17.66666667,0.0,14
test,1123.png,1,1,65.66666667,49.5,30.33333333,15.16666667,0.0,13
test,1123.png,1,1,50.30389608,45.83333333,32.97056275,23.5,0.0,23
test,1135.png,1,1,50.38722942,45.16666667,33.72056275,8.166666667,0.0,12
test,1135.png,1,1,53.55389608,47.05389608,32.55389608,17.72056275,0.0,34
test,1135.png,1,1,56.83333333,48.33333333,25.16666667,18.0,0.0,10
test,1144.png,1,1,65.90692646,55.5,33.7597402,14.16666667,0.0,11
test,1144.png,1,1,72.33333333,53.5,23.33333333,18.16666667,0.0,73
test,1144.png,1,1,12.5,42.83333333,12.5,13.5,0.0,229
test,115.png,1,1,31.66666667,52.83333333,32.66666667,31.83333333,0.0,16
test,115.png,1,1,50.66666667,51.33333333,19.0,14.0,0.0,9
test,115.png,1,1,37.5,42.33333333,23.83333333,18.0,0.0,9
test,1150.png,1,1,73.5,51.33333333,14.5,12.66666667,0.0,176
test,1150.png,1,1,67.44871025,53.26239253,34.64711011,25.69348146,-0.755013348,33
test,1150.png,1,1,60.42402598,51.16666667,31.85043285,26.83333333,0.0,19
test,1162.png,1,1,47.30389608,49.5,33.63722942,17.83333333,0.0,20
test,1162.png,1,1,51.33333333,47.16666667,33.0,25.16666667,0.0,9
test,1162.png,1,1,45.66666667,51.0,27.33333333,17.66666667,0.0,16
test,1175.png,1,1,56.0,51.33333333,26.66666667,20.0,0.0,17
test,1175.png,1,1,47.64352135,54.98709298,34.19117902,10.04080988,0.154517256,579
test,1175.png,1,1,50.66666667,50.16666667,33.0,28.16666667,0.0,159
test,1201.png,1,1,51.1347402,45.5,34.1347402,19.83333333,0.0,11
test,1201.png,1,1,57.8847402,52.5,26.21807354,23.16666667,0.0,500
test,1201.png,1,1,49.0,46.5,20.33333333,20.5,0.0,46
test,1205.png,1,1,58.0,37.33333333,6.333333333,9.333333333,0.0,43
test,1205.png,1,1,32.5,57.16666667,13.16666667,8.5,0.0,333
test,1205.png,1,1,57.16666667,40.83333333,11.83333333,9.166666667,0.0,22
test,1206.png,1,1,25.33333333,44.16666667,24.33333333,18.5,0.0,110
test,1206.png,1,1,29.46807354,46.5,32.46807354,31.16666667,0.0,113
test,1206.png,1,1,17.16666667,51.16666667,16.83333333,17.16666667,0.081579547,50
test,1227.png,1,1,36.66666667,61.46807354,30.0,33.46807354,0.0,255
test,1227.png,1,1,36.88722942,54.83333333,32.22056275,6.833333333,0.0,55
test,1227.png,1,1,23.66666667,57.0,19.66666667,16.0,0.0,8
test,1236.png,1,1,50.66666667,63.66666667,23.66666667,21.0,0.0,89
test,1236.png,1,1,55.2597402,63.33333333,34.59307354,24.33333333,0.0,67
test,1236.png,1,1,78.5,29.16666667,16.83333333,15.83333333,0.0,166
test,1252.png,1,1,17.33333333,48.33333333,17.0,14.66666667,0.0,25
test,1252.png,1,1,32.33333333,49.0,32.66666667,17.33333333,0.0,22
test,1252.png,1,1,17.66666667,46.33333333,16.33333333,7.333333333,0.0,135
test,1260.png,1,1,25.5,60.5,19.5,18.16666667,0.0,7
test,1260.png,1,1,79.0,29.83333333,18.33333333,16.5,0.0,351
test,1260.png,1,1,45.22056275,56.16666667,31.88722942,29.83333333,0.0,237
test,1264.png,1,1,26.66666667,50.16666667,25.33333333,13.83333333,0.0,82
test,1264.png,1,1,29.83333333,48.33333333,25.5,10.33333333,0.0,174
test,1264.png,1,1,48.0,52.16666667,11.0,8.833333333,0.0,76
test,1265.png,1,1,18.83333333,62.16666667,17.16666667,21.5,0.0,9
test,1265.png,1,1,68.66666667,48.5,26.0,26.83333333,0.0,26
test,1265.png,1,1,65.33333333,54.38722942,32.33333333,33.72056275,0.0,550
test,1273.png,1,1,46.5,45.83333333,20.5,19.16666667,0.0,16
test,1273.png,1,1,45.83333333,24.83333333,9.5,7.166666667,0.0,97
test,1273.png,1,1,43.96807354,44.66666667,32.6347402,25.66666667,-1.570796327,28
test,1284.png,1,1,40.16666667,46.33333333,30.83333333,27.33333333,0.0,197
test,1284.png,1,1,52.75600639,44.83333333,32.42267306,18.83333333,0.0,9
test,1284.png,1,1,36.47056275,46.83333333,27.13722942,15.5,0.0,56
test,13.png,1,1,42.16666667,43.83333333,21.5,13.16666667,0.0,10
test,13.png,1,1,50.72056275,45.16666667,32.72056275,24.16666667,0.0,20
test,13.png,1,1,49.33333333,46.33333333,14.0,13.0,0.0,166
test,1305.png,1,1,57.63722942,46.5,33.63722942,14.83333333,0.0,10
test,1305.png,1,1,56.4902598,49.16666667,32.84307354,20.16666667,0.0,23
test,1305.png,1,1,55.40692646,45.83333333,33.59307354,10.16666667,0.0,25
test,1307.png,1,1,38.80389608,46.63722942,31.80389608,32.30389608,0.0,20
test,1307.png,1,1,27.15751283,41.84156866,30.96376236,20.55408493,0.586255398,25
test,1307.png,1,1,22.0,37.66666667,19.66666667,17.66666667,0.0,8
test,1324.png,1,1,18.33333333,46.38722942,28.0,22.38722942,0.0,258
test,1324.png,1,1,34.25600639,42.47056275,32.92267306,33.13722942,0.0,11
test,1324.png,1,1,38.38722942,46.33333333,34.38722942,23.0,0.0,140
test,136.png,1,1,38.38722942,48.66666667,33.38722942,17.0,0.0,14
test,136.png,1,1,23.5,47.5,26.83333333,20.5,0.0,9
test,136.png,1,1,31.83333333,45.33333333,33.16666667,16.0,0.0,12
test,1368.png,1,1,35.30140687,46.83333333,33.6347402,21.16666667,0.0,15
test,1368.png,1,1,44.33571422,41.16666667,33.51709952,13.5,0.0,85
test,1368.png,1,1,38.83333333,46.0,20.16666667,15.33333333,0.0,11
test,1377.png,1,1,48.67267306,45.83333333,32.67267306,26.5,0.0,42
